"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"1486","Social and community service managers","305","105","200",323.5,"47.5","2648679","2015","264867","high.school",25.23,"hs-"
"1487","Stationary engineers and boiler operators","84","81","3",106,"48.6","51-8021","2015","51-802","high.school",41.55,"hs-"
"1488","Statistical assistants","15","5","10",28,"–","43-9111","2015","43-911","high.school",6.41,"hs-"
"1489","Stock clerks and order fillers","1027","651","376",1480.5,"35.200000000000003","43-5081","2015","43-508","high.school",651.42,"hs-"
"1490","Structural iron and steel workers","54","52","2",57,"–","47-2221","2015","47-222","high.school",27.47,"hs-"
"1491","Structural metal fabricators and fitters","31","28","3",24,"–","51-2041","2015","51-204","high.school",10.73,"hs-"
"1492","Surveying and mapping technicians","58","54","4",65.5,"44.7","17-3031","2015","17-303","high.school",17.1,"hs-"
"1493","Switchboard operators, including answering service","17","7","10",33.5,"–","43-2011","2015","43-201","high.school",13.03,"hs-"
"1494","Tax examiners and collectors, and revenue agents","59","20","39",71,"45.6","13-2081","2015","13-208","high.school",11.5,"hs-"
"1495","Taxi drivers and chauffeurs","253","216","38",337,"49.2","53-3041","2015","53-304","high.school",122.67,"hs-"
"1496","Teacher assistants","614","48","565",908,"44.8","25-9041","2015","25-904","high.school",269.68,"hs-"
"1497","Telemarketers","39","17","21",95,"31.3","41-9041","2015","41-904","high.school",28.31,"hs-"
"1498","Telephone operators","22","4","18",35.5,"–","43-2021","2015","43-202","high.school",11.18,"hs-"
"1499","Tellers","264","33","231",374.5,"30.9","43-3071","2015","43-307","high.school",129.2,"hs-"
"1500","Tool and die makers","49","49","0",54.5,"51.1","51-4111","2015","51-411","high.school",22.78,"hs-"
"1501","Training and development managers","37","17","20",35,"–","449919","2015","449919","high.school",2.77,"hs-"
"1502","Training and development specialists","107","42","65",122.5,"42.5","13-1151","2015","13-115","high.school",12.98,"hs-"
"1503","Transportation attendants, except flight attendants","17","9","8",37.5,"–","53-6061","2015","53-606","high.school",14.7,"hs-"
"1504","Transportation inspectors","21","14","7",40.5,"–","53-6051","2015","53-605","high.school",13.81,"hs-"
"1505","Transportation, storage, and distribution managers","276","224","52",275.5,"45.8","428005","2015","428005","high.school",81.82,"hs-"
"1506","Travel agents","62","9","53",75,"53.2","41-3041","2015","41-304","high.school",12.97,"hs-"
"1507","Urban and regional planners","22","13","9",24,"–","19-3051","2015","19-305","high.school",0.24,"hs-"
"1508","Ushers, lobby attendants, and ticket takers","9","5","4",41,"–","39-3031","2015","39-303","high.school",13.2,"hs-"
"1509","Veterinarians","55","16","39",86,"46.8","29-1131","2015","29-113","high.school",0,"hs-"
"1510","Waiters and waitresses","868","305","563",2124,"26.2","35-3031","2015","35-303","high.school",696.67,"hs-"
"1511","Water and wastewater treatment plant and system operators","82","79","3",70,"49.8","51-8031","2015","51-803","high.school",26.74,"hs-"
"1512","Weighers, measurers, checkers, and samplers, recordkeeping","59","29","31",79,"46.5","43-5111","2015","43-511","high.school",27.89,"hs-"
"1513","Accountants and auditors","1056","1250","956",1653,"43.1","13-2011","2011","13-201","associate",157.03,"hs-college"
"1514","Actors","-","-","-",28,"–","27-2011","2011","27-201","associate",1.29,"hs-college"
"1515","Actuaries","-","-","-",18,"–","15-2011","2011","15-201","associate",0.07,"hs-college"
"1516","Adhesive bonding machine operators and tenders","-","-","-",9,"–","51-9191","2011","51-919","associate",0.44,"hs-college"
"1517","Administrative services managers","1021","1170","-",128,"48.9","406090","2011","406090","associate",14.46,"hs-college"
"1518","Advertising and promotions managers","1164","-","-",87,"39.200000000000003","40848","2011","40848","associate",4.79,"hs-college"
"1519","Advertising sales agents","893","961","772",254,"39.6","41-3011","2011","41-301","associate",19.81,"hs-college"
"1520","Aerospace engineers","1621","1745","-",144,"43.9","17-2011","2011","17-201","associate",7.78,"hs-college"
"1521","Agents and business managers of artists, performers, and athletes","-","-","-",48,"–","13-1011","2011","13-101","associate",3.02,"hs-college"
"1522","Agricultural and food science technicians","-","-","-",24,"–","19-4011","2011","19-401","associate",2.71,"hs-college"
"1523","Agricultural inspectors","-","-","-",22,"–","45-2011","2011","45-201","associate",2.35,"hs-college"
"1524","Aircraft mechanics and service technicians","988","990","-",164,"44","49-3011","2011","49-301","associate",33.95,"hs-college"
"1525","Aircraft structure, surfaces, rigging, and systems assemblers","-","-","-",20,"–","51-2011","2011","51-201","associate",1.64,"hs-college"
"1526","Ambulance drivers and attendants, except emergency medical technicians","-","-","-",13,"–","53-3011","2011","53-301","associate",1.05,"hs-college"
"1527","Animal control workers","-","-","-",6,"–","33-9011","2011","33-901","associate",0.51,"hs-college"
"1528","Animal trainers","-","-","-",49,"–","39-2011","2011","39-201","associate",3.77,"hs-college"
"1529","Appraisers and assessors of real estate","990","-","-",88,"50.6","13-2021","2011","13-202","associate",9.42,"hs-college"
"1530","Architectural and engineering managers","1914","1908","-",106,"47.6","2608503","2011","260850","associate",5.51,"hs-college"
"1531","Atmospheric and space scientists","-","-","-",7,"–","19-2021","2011","19-202","associate",0.2,"hs-college"
"1532","Audiologists","-","-","-",19,"–","29-1181","2011","29-118","associate",0.08,"hs-college"
"1533","Automotive and watercraft service attendants","-","-","-",76,"30.1","53-6031","2011","53-603","associate",4.41,"hs-college"
"1534","Automotive body and related repairers","624","625","-",140,"41.1","49-3021","2011","49-302","associate",8.82,"hs-college"
"1535","Avionics technicians","-","-","-",16,"–","49-2091","2011","49-209","associate",3.5,"hs-college"
"1536","Bakers","448","471","416",207,"40.299999999999997","51-3011","2011","51-301","associate",12.63,"hs-college"
"1537","Barbers","-","-","-",89,"45.1","39-5011","2011","39-501","associate",4.98,"hs-college"
"1538","Bartenders","545","593","505",392,"31.8","35-3011","2011","35-301","associate",34.5,"hs-college"
"1539","Bill and account collectors","608","-","597",211,"38.9","43-3011","2011","43-301","associate",23.84,"hs-college"
"1540","Billing and posting clerks","607","-","605",471,"42.2","43-3021","2011","43-302","associate",59.35,"hs-college"
"1541","Biological technicians","-","-","-",21,"–","19-4021","2011","19-402","associate",1.83,"hs-college"
"1542","Boilermakers","-","-","-",19,"–","47-2011","2011","47-201","associate",1.88,"hs-college"
"1543","Bookkeeping, accounting, and auditing clerks","655","654","656",1300,"48.5","43-3031","2011","43-303","associate",131.3,"hs-college"
"1544","Brokerage clerks","-","-","-",11,"–","43-4011","2011","43-401","associate",0.9,"hs-college"
"1545","Budget analysts","1174","-","-",53,"45.2","13-2031","2011","13-203","associate",4.66,"hs-college"
"1546","Bus and truck mechanics and diesel engine specialists","801","802","-",312,"42.4","49-3031","2011","49-303","associate",31.51,"hs-college"
"1547","Business operations specialists, all other","991","1185","908",281,"43.6","13-1199","2011","13-119","associate",26.98,"hs-college"
"1548","Buyers and purchasing agents, farm products","-","-","-",12,"–","13-1021","2011","13-102","associate",1.04,"hs-college"
"1549","Cabinetmakers and bench carpenters","-","-","-",66,"47.1","51-7011","2011","51-701","associate",3.3,"hs-college"
"1550","Cargo and freight agents","-","-","-",8,"–","43-5011","2011","43-501","associate",0.93,"hs-college"
"1551","Carpenters","630","630","-",1330,"41.4","47-2031","2011","47-203","associate",73.15,"hs-college"
"1552","Chefs and head cooks","580","601","502",347,"38.799999999999997","35-1011","2011","35-101","associate",56.21,"hs-college"
"1553","Chemical engineers","1757","1885","-",74,"43.1","17-2041","2011","17-204","associate",2.89,"hs-college"
"1554","Chemical technicians","788","-","-",77,"40.5","19-4031","2011","19-403","associate",9.09,"hs-college"
"1555","Childcare workers","382","-","383",1231,"37.200000000000003","39-9011","2011","39-901","associate",120.64,"hs-college"
"1556","Chiropractors","-","-","-",56,"48","29-1011","2011","29-101","associate",0.45,"hs-college"
"1557","Civil engineers","1398","1436","-",383,"42.5","17-2051","2011","17-205","associate",18,"hs-college"
"1558","Cleaners of vehicles and equipment","465","458","-",331,"32.700000000000003","53-7061","2011","53-706","associate",13.57,"hs-college"
"1559","Clergy","945","961","889",414,"52.5","21-2011","2011","21-201","associate",17.39,"hs-college"
"1560","Coin, vending, and amusement machine servicers and repairers","-","-","-",46,"–","49-9091","2011","49-909","associate",4.37,"hs-college"
"1561","Combined food preparation and serving workers, including fast food","387","-","385",326,"28.1","35-3021","2011","35-302","associate",16.63,"hs-college"
"1562","Communications equipment operators, all other","-","-","-",7,"–","43-2099","2011","43-209","associate",0.95,"hs-college"
"1563","Compensation and benefits managers","-","-","-",21,"–","442614","2011","442614","associate",1.85,"hs-college"
"1564","Compensation, benefits, and job analysis specialists","893","-","-",65,"44.4","13-1141","2011","13-114","associate",7.67,"hs-college"
"1565","Compliance officers","1125","1279","995",198,"45.9","13-1041","2011","13-104","associate",20,"hs-college"
"1566","Computer and information research scientists","-","-","-",20,"–","15-1111","2011","15-111","associate",0.54,"hs-college"
"1567","Computer and information systems managers","1579","1595","1543",553,"43.1","409743","2011","409743","associate",44.79,"hs-college"
"1568","Computer hardware engineers","1528","1546","-",77,"41.7","17-2061","2011","17-206","associate",7.47,"hs-college"
"1569","Computer occupations, all other","1127","1165","998",306,"40.799999999999997","15-1199","2011","15-119","associate",45.59,"hs-college"
"1570","Computer operators","724","853","651",126,"48.9","43-9011","2011","43-901","associate",18.27,"hs-college"
"1571","Computer programmers","1277","1330","1238",459,"41.8","15-1131","2011","15-113","associate",40.39,"hs-college"
"1572","Computer systems analysts","1328","1410","1144",447,"43.1","15-1121","2011","15-112","associate",36.65,"hs-college"
"1573","Computer, automated teller, and office machine repairers","811","812","-",305,"40.6","49-2011","2011","49-201","associate",61.3,"hs-college"
"1574","Construction and building inspectors","906","919","-",75,"50.7","47-4011","2011","47-401","associate",9.38,"hs-college"
"1575","Construction laborers","586","587","-",1253,"36.9","47-2061","2011","47-206","associate",50.12,"hs-college"
"1576","Construction managers","1268","1325","-",926,"46.9","2601198","2011","260119","associate",71.3,"hs-college"
"1577","Cost estimators","1080","1117","-",119,"44.7","13-1051","2011","13-105","associate",13.8,"hs-college"
"1578","Counter and rental clerks","603","620","-",139,"38.200000000000003","41-2021","2011","41-202","associate",10.43,"hs-college"
"1579","Couriers and messengers","744","785","-",249,"46.5","43-5021","2011","43-502","associate",23.41,"hs-college"
"1580","Court, municipal, and license clerks","763","-","738",86,"48.9","43-4031","2011","43-403","associate",13.85,"hs-college"
"1581","Crane and tower operators","739","736","-",63,"42.7","53-7021","2011","53-702","associate",2.84,"hs-college"
"1582","Credit analysts","-","-","-",24,"–","13-2041","2011","13-204","associate",1.94,"hs-college"
"1583","Credit authorizers, checkers, and clerks","-","-","-",45,"–","43-4041","2011","43-404","associate",3.78,"hs-college"
"1584","Crossing guards","-","-","-",59,"53.6","33-9091","2011","33-909","associate",2.71,"hs-college"
"1585","Customer service representatives","588","628","569",1916,"37","43-4051","2011","43-405","associate",208.84,"hs-college"
"1586","Data entry keyers","595","-","597",334,"40","43-9021","2011","43-902","associate",42.08,"hs-college"
"1587","Database administrators","1238","1470","-",134,"42.5","15-1141","2011","15-114","associate",12.46,"hs-college"
"1588","Dental assistants","579","-","582",307,"36.299999999999997","31-9091","2011","31-909","associate",49.43,"hs-college"
"1589","Dental hygienists","986","-","992",148,"42.2","29-2021","2011","29-202","associate",81.1,"hs-college"
"1590","Detectives and criminal investigators","1154","1192","-",151,"42.3","33-3021","2011","33-302","associate",20.08,"hs-college"
"1591","Dietitians and nutritionists","897","-","906",102,"47.7","29-1031","2011","29-103","associate",3.88,"hs-college"
"1592","Directors, religious activities and education","-","-","-",44,"–","21-2021","2011","21-202","associate",2.33,"hs-college"
"1593","Dishwashers","332","321","-",273,"28.3","35-9021","2011","35-902","associate",6.55,"hs-college"
"1594","Door-to-door sales workers, news and street vendors, and related workers","526","-","-",201,"43.8","41-9091","2011","41-909","associate",14.87,"hs-college"
"1595","Earth drillers, except oil and gas","-","-","-",23,"–","47-5021","2011","47-502","associate",1.4,"hs-college"
"1596","Economists","-","-","-",23,"–","19-3011","2011","19-301","associate",0.05,"hs-college"
"1597","Editors","902","933","892",166,"41.4","27-3041","2011","27-304","associate",6.47,"hs-college"
"1598","Electrical power-line installers and repairers","1116","1116","-",124,"40.6","49-9051","2011","49-905","associate",14.26,"hs-college"
"1599","Electricians","857","855","-",682,"41.5","47-2111","2011","47-211","associate",92.75,"hs-college"
"1600","Elevator installers and repairers","-","-","-",30,"–","47-4021","2011","47-402","associate",3.54,"hs-college"
"1601","Eligibility interviewers, government programs","632","-","632",85,"42.9","43-4061","2011","43-406","associate",11.98,"hs-college"
"1602","Emergency management directors","-","-","-",5,"–","2652332","2011","265233","associate",0.41,"hs-college"
