"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"427","Landscape architects
 Show/hide Example Job Titles","17-1012",22.5,23.7,1.2,5.5,4.9,"63480.0","Bachelor's degree","None","Internship/residency","2014"
"428","Landscaping and groundskeeping workers
 Show/hide Example Job Titles","37-3011",1167.8,1239.6,71.7,6.1,282.3,"26320.0","No formal educational credential","None","Short-term on-the-job training","2014"
"429","Lathe and turning machine tool setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4034",42.9,34.3,-8.6,-20,10.6,"38480.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"430","Laundry and dry-cleaning workers
 Show/hide Example Job Titles","51-6011",208.2,212,3.7,1.8,33.6,"21510.0","No formal educational credential","None","Short-term on-the-job training","2014"
"431","Law teachers, postsecondary
 Show/hide Example Job Titles","25-1112",21.1,25.7,4.6,21.7,8.3,"111210.0","Doctoral or professional degree","None","None","2014"
"432","Lawyers
 Show/hide Example Job Titles","23-1011",778.7,822.5,43.8,5.6,157.7,"118160.0","Doctoral or professional degree","None","None","2014"
"433","Layout workers, metal and plastic
 Show/hide Example Job Titles","51-4192",13.4,10.7,-2.7,-20.1,2.3,"45820.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"434","Legal secretaries
 Show/hide Example Job Titles","43-6012",215.5,206.7,-8.9,-4.1,22.7,"44180.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"435","Legal support workers, all other
 Show/hide Example Job Titles","23-2099",52.6,52.4,-0.2,-0.4,11.6,"54650.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"436","Legislators
 Show/hide Example Job Titles","11-1031",58.3,57.9,-0.4,-0.7,12.9,"23470.0","Bachelor's degree","Less than 5 years","None","2014"
"437","Librarians
 Show/hide Example Job Titles","25-4021",143.1,145.7,2.7,1.9,29.5,"57680.0","Master's degree","None","None","2014"
"438","Library assistants, clerical
 Show/hide Example Job Titles","43-4121",108.8,114.7,5.9,5.4,39.6,"25220.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"439","Library science teachers, postsecondary
 Show/hide Example Job Titles","25-1082",5.6,6,0.4,8,1.4,"68410.0","Doctoral or professional degree","None","None","2014"
"440","Library technicians
 Show/hide Example Job Titles","25-4031",101.8,107.1,5.3,5.2,53.9,"32890.0","Postsecondary nondegree award","None","None","2014"
"441","Licensed practical and licensed vocational nurses
 Show/hide Example Job Titles","29-2061",719.9,837.2,117.3,16.3,322.2,"44090.0","Postsecondary nondegree award","None","None","2014"
"442","Life scientists, all other
 Show/hide Example Job Titles","19-1099",10.6,11.3,0.8,7.2,4,"73860.0","Bachelor's degree","None","None","2014"
"443","Life, physical, and social science technicians, all other
 Show/hide Example Job Titles","19-4099",78.2,83.5,5.3,6.8,38.1,"46040.0","Associate's degree","None","None","2014"
"444","Lifeguards, ski patrol, and other recreational protective service workers
 Show/hide Example Job Titles","33-9092",141.3,150.8,9.5,6.7,29.4,"20290.0","No formal educational credential","None","Short-term on-the-job training","2014"
"445","Light truck or delivery services drivers
 Show/hide Example Job Titles","53-3033",884.7,911.9,27.3,3.1,177.8,"30580.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"446","Loading machine operators, underground mining
 Show/hide Example Job Titles","53-7033",4.8,4.8,0,-0.1,0.6,"53420.0","No formal educational credential","None","Short-term on-the-job training","2014"
"447","Loan interviewers and clerks
 Show/hide Example Job Titles","43-4131",213.8,232.3,18.5,8.6,51.3,"38630.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"448","Loan officers
 Show/hide Example Job Titles","13-2072",303.2,327.7,24.5,8.1,75,"63650.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"449","Locker room, coatroom, and dressing room attendants
 Show/hide Example Job Titles","39-3093",18.6,19.4,0.9,4.7,8.6,"21720.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"450","Locksmiths and safe repairers
 Show/hide Example Job Titles","49-9094",20.9,17.8,-3.1,-14.8,10.7,"40420.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"451","Locomotive engineers
 Show/hide Example Job Titles","53-4011",40.4,39.5,-0.9,-2.3,16,"57670.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"452","Locomotive firers
 Show/hide Example Job Titles","53-4012",1.7,0.5,-1.2,-69.9,0.7,"58230.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"453","Lodging managers
 Show/hide Example Job Titles","2623113.0",48.4,52.1,3.7,7.6,13,"51840.0","High school diploma or equivalent","Less than 5 years","None","2014"
"454","Log graders and scalers
 Show/hide Example Job Titles","45-4023",3.7,3.7,-0.1,-2,0.9,"37090.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"455","Logging equipment operators
 Show/hide Example Job Titles","45-4022",37.3,37.1,-0.1,-0.3,8.8,"37490.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"456","Logging workers, all other
 Show/hide Example Job Titles","45-4029",4.5,4.1,-0.3,-7.5,1.1,"38950.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"457","Logisticians
 Show/hide Example Job Titles","13-1081",130.4,132.9,2.5,1.9,20.6,"74170.0","Bachelor's degree","None","None","2014"
"458","Machine feeders and offbearers
 Show/hide Example Job Titles","53-7063",104.2,100.7,-3.5,-3.4,22.9,"28410.0","No formal educational credential","None","Short-term on-the-job training","2014"
"459","Machinists
 Show/hide Example Job Titles","51-4041",399.7,438.9,39.2,9.8,154.7,"41700.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"460","Magnetic resonance imaging technologists
 Show/hide Example Job Titles","29-2035",33.6,37.1,3.5,10.3,9.8,"68420.0","Associate's degree","Less than 5 years","None","2014"
"461","Maids and housekeeping cleaners
 Show/hide Example Job Titles","37-2012",1457.7,1569.4,111.7,7.7,459.4,"21820.0","No formal educational credential","None","Short-term on-the-job training","2014"
"462","Mail clerks and mail machine operators, except postal service
 Show/hide Example Job Titles","43-9051",104.9,85.1,-19.8,-18.8,21.4,"29160.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"463","Maintenance and repair workers, general
 Show/hide Example Job Titles","49-9071",1374.7,1458.1,83.5,6.1,443.7,"36940.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"464","Maintenance workers, machinery
 Show/hide Example Job Titles","49-9043",91.2,98.7,7.4,8.2,22.1,"44550.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"465","Makeup artists, theatrical and performance
 Show/hide Example Job Titles","39-5091",3.6,4.3,0.7,19.2,1,"60970.0","Postsecondary nondegree award","None","None","2014"
"466","Management analysts
 Show/hide Example Job Titles","13-1111",758,861.4,103.4,13.6,208.5,"81330.0","Bachelor's degree","Less than 5 years","None","2014"
"467","Managers, all other
 Show/hide Example Job Titles","2666211.0",985.6,1023.6,38,3.9,255.4,"104970.0","Bachelor's degree","Less than 5 years","None","2014"
"468","Manicurists and pedicurists
 Show/hide Example Job Titles","39-5092",113.6,125.3,11.7,10.3,20.6,"22150.0","Postsecondary nondegree award","None","None","2014"
"469","Manufactured building and mobile home installers
 Show/hide Example Job Titles","49-9095",4,2.8,-1.2,-30,1,"29810.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"470","Marine engineers and naval architects
 Show/hide Example Job Titles","17-2121",8.3,9,0.7,8.9,2.9,"93350.0","Bachelor's degree","None","None","2014"
"471","Market research analysts and marketing specialists
 Show/hide Example Job Titles","13-1161",495.5,587.8,92.3,18.6,151.4,"62560.0","Bachelor's degree","None","None","2014"
"472","Marketing managers
 Show/hide Example Job Titles","44501.0",194.3,212.5,18.2,9.4,64.2,"131180.0","Bachelor's degree","5 years or more","None","2014"
"473","Marriage and family therapists
 Show/hide Example Job Titles","21-1013",33.7,38.7,5,14.8,12.1,"49170.0","Master's degree","None","Internship/residency","2014"
"474","Massage therapists
 Show/hide Example Job Titles","31-9011",168.8,205.2,36.5,21.6,49,"39860.0","Postsecondary nondegree award","None","None","2014"
"475","Material moving workers, all other
 Show/hide Example Job Titles","53-7199",23.6,24.7,1,4.4,8.5,"28370.0","No formal educational credential","None","Short-term on-the-job training","2014"
"476","Materials engineers
 Show/hide Example Job Titles","17-2131",25.3,25.6,0.3,1.3,9.2,"93310.0","Bachelor's degree","None","None","2014"
"477","Materials scientists
 Show/hide Example Job Titles","19-2032",7.3,7.5,0.2,2.7,1.8,"99430.0","Bachelor's degree","None","None","2014"
"478","Mathematical science occupations, all other
 Show/hide Example Job Titles","15-2099",1.8,1.9,0.1,5.7,0.4,"65050.0","Bachelor's degree","None","None","2014"
"479","Mathematical science teachers, postsecondary
 Show/hide Example Job Titles","25-1022",63.5,73.9,10.4,16.4,21.7,"69520.0","Doctoral or professional degree","None","None","2014"
"480","Mathematical technicians
 Show/hide Example Job Titles","15-2091",1.2,1.1,-0.2,-12.6,0.2,"49660.0","Bachelor's degree","None","None","2014"
"481","Mathematicians
 Show/hide Example Job Titles","15-2021",3.5,4.2,0.7,21.4,1.3,"105810.0","Master's degree","None","None","2014"
"482","Meat, poultry, and fish cutters and trimmers
 Show/hide Example Job Titles","51-3022",152.4,152.3,-0.2,-0.1,30.1,"24490.0","No formal educational credential","None","Short-term on-the-job training","2014"
"483","Mechanical door repairers
 Show/hide Example Job Titles","49-9011",17.4,19.3,1.9,10.7,8.7,"38480.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"484","Mechanical drafters
 Show/hide Example Job Titles","17-3013",65.7,61.2,-4.5,-6.8,7.8,"54480.0","Associate's degree","None","None","2014"
"485","Mechanical engineering technicians
 Show/hide Example Job Titles","17-3027",48.4,49.3,0.9,2,12.8,"54480.0","Associate's degree","None","None","2014"
"486","Mechanical engineers
 Show/hide Example Job Titles","17-2141",277.5,292.1,14.6,5.3,102.5,"84190.0","Bachelor's degree","None","None","2014"
"487","Media and communication equipment workers, all other
 Show/hide Example Job Titles","27-4099",19.4,18.7,-0.6,-3.3,3.7,"75700.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"488","Media and communication workers, all other
 Show/hide Example Job Titles","27-3099",33.5,37,3.5,10.3,8.8,"43600.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"489","Medical and clinical laboratory technicians
 Show/hide Example Job Titles","29-2012",163.4,192.4,29,17.8,68.1,"38950.0","Associate's degree","None","None","2014"
"490","Medical and clinical laboratory technologists
 Show/hide Example Job Titles","29-2011",164.8,187.9,23.1,14,62.5,"61070.0","Bachelor's degree","None","None","2014"
"491","Medical and health services managers
 Show/hide Example Job Titles","2634069.0",333,389.3,56.3,16.9,140.5,"96540.0","Bachelor's degree","Less than 5 years","None","2014"
"492","Medical appliance technicians
 Show/hide Example Job Titles","51-9082",14.6,16.1,1.6,10.7,5.1,"35980.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"493","Medical assistants
 Show/hide Example Job Titles","31-9092",591.3,730.2,138.9,23.5,262.1,"31540.0","Postsecondary nondegree award","None","None","2014"
"494","Medical equipment preparers
 Show/hide Example Job Titles","31-9093",52,59.3,7.3,14,18.1,"34400.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"495","Medical equipment repairers
 Show/hide Example Job Titles","49-9062",48,50.9,2.9,6.1,11.5,"48070.0","Associate's degree","None","Moderate-term on-the-job training","2014"
"496","Medical records and health information technicians
 Show/hide Example Job Titles","29-2071",188.6,217.6,29,15.4,71.2,"38040.0","Postsecondary nondegree award","None","None","2014"
"497","Medical scientists, except epidemiologists
 Show/hide Example Job Titles","19-1042",107.9,116.8,9,8.3,42.4,"80530.0","Doctoral or professional degree","None","None","2014"
"498","Medical secretaries
 Show/hide Example Job Titles","43-6013",527.6,635.8,108.2,20.5,163.8,"33730.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"499","Medical transcriptionists
 Show/hide Example Job Titles","31-9094",70,67.8,-2.2,-3.1,14.6,"35720.0","Postsecondary nondegree award","None","None","2014"
"500","Meeting, convention, and event planners
 Show/hide Example Job Titles","13-1121",100,109.9,9.9,9.9,21.8,"47350.0","Bachelor's degree","None","None","2014"
"501","Mental health and substance abuse social workers
 Show/hide Example Job Titles","21-1023",117.8,140,22.3,18.9,50.7,"42700.0","Bachelor's degree","None","None","2014"
"502","Mental health counselors
 Show/hide Example Job Titles","21-1014",134.5,160.9,26.4,19.6,54.5,"42840.0","Master's degree","None","Internship/residency","2014"
"503","Merchandise displayers and window trimmers
 Show/hide Example Job Titles","27-1026",120.8,124.1,3.3,2.8,32.1,"26700.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"504","Metal workers and plastic workers, all other
 Show/hide Example Job Titles","51-4199",22.4,18.7,-3.7,-16.6,3.9,"33280.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"505","Metal-refining furnace operators and tenders
 Show/hide Example Job Titles","51-4051",21.2,20.2,-1,-4.8,6.7,"41040.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"506","Meter readers, utilities
 Show/hide Example Job Titles","43-5041",37.4,30.6,-6.7,-18,6.7,"38940.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"507","Microbiologists
 Show/hide Example Job Titles","19-1022",22.4,23.2,0.8,3.5,6.8,"66850.0","Bachelor's degree","None","None","2014"
"508","Middle school teachers, except special and career/technical education
 Show/hide Example Job Titles","25-2022",627.5,664.2,36.8,5.9,175.5,"56720.0","Bachelor's degree","None","Internship/residency","2014"
"509","Milling and planing machine setters, operators, and tenders, metal and plastic
 Show/hide Example Job Titles","51-4035",22.4,17.8,-4.6,-20.6,3.9,"39840.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"510","Millwrights
 Show/hide Example Job Titles","49-9044",40.9,47.1,6.2,15.2,14.5,"52440.0","High school diploma or equivalent","None","Apprenticeship","2014"
"511","Mine cutting and channeling machine operators
 Show/hide Example Job Titles","47-5042",7.4,7.3,-0.1,-1.8,1.4,"51900.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"512","Mine shuttle car operators
 Show/hide Example Job Titles","53-7111",2.7,2.6,-0.1,-2.2,0.8,"56450.0","No formal educational credential","None","Short-term on-the-job training","2014"
"513","Mining and geological engineers, including mining safety engineers
 Show/hide Example Job Titles","17-2151",8.3,8.8,0.5,6.4,2.7,"93720.0","Bachelor's degree","None","None","2014"
"514","Mining machine operators, all other
 Show/hide Example Job Titles","47-5049",2.6,2.6,0,0.3,0.5,"48010.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
