"","employment","Total","median","code","year","code2","degrees","number","edu"
"3808","Human resources assistants, except payroll and timekeeping",132.5,"42.6","43-4161","2012","43-416","master",9.8,"college+"
"3809","Industrial truck and tractor operators",547,"40","53-7051","2012","53-705","master",1.09,"college+"
"3810","Information and record clerks, all other",103.5,"44.2","43-4199","2012","43-419","master",4.14,"college+"
"3811","Inspectors, testers, sorters, samplers, and weighers",687.5,"43.8","51-9061","2012","51-906","master",19.25,"college+"
"3812","Insurance claims and policy processing clerks",258.5,"41.5","43-9041","2012","43-904","master",8.01,"college+"
"3813","Insurance sales agents",571,"45.6","41-3021","2012","41-302","master",35.97,"college+"
"3814","Interviewers, except eligibility and loan",140.5,"42.2","43-4111","2012","43-411","master",8.01,"college+"
"3815","Jewelers and precious stone and metal workers",50,"48.6","51-9071","2012","51-907","master",1,"college+"
"3816","Laundry and dry-cleaning workers",176,"43.2","51-6011","2012","51-601","master",1.06,"college+"
"3817","Librarians",187.5,"50.5","25-4021","2012","25-402","master",106.88,"college+"
"3818","Library assistants, clerical",92,"39.4","43-4121","2012","43-412","master",8.56,"college+"
"3819","Library technicians",42,"–","25-4031","2012","25-403","master",4.24,"college+"
"3820","Licensed practical and licensed vocational nurses",544.5,"43.8","29-2061","2012","29-206","master",3.27,"college+"
"3821","Loan interviewers and clerks",156,"39.9","43-4131","2012","43-413","master",3.9,"college+"
"3822","Logisticians",91,"46.1","13-1081","2012","13-108","master",9.1,"college+"
"3823","Machinists",397.5,"46.2","51-4041","2012","51-404","master",1.59,"college+"
"3824","Mail clerks and mail machine operators, except postal service",78,"50","43-9051","2012","43-905","master",1.4,"college+"
"3825","Maintenance and repair workers, general",452,"47.9","49-9071","2012","49-907","master",4.07,"college+"
"3826","Management analysts",792,"47.2","13-1111","2012","13-111","master",229.68,"college+"
"3827","Marine engineers and naval architects",9.5,"–","17-2121","2012","17-212","master",1.6,"college+"
"3828","Market research analysts and marketing specialists",230,"38.5","13-1161","2012","13-116","master",52.9,"college+"
"3829","Massage therapists",165,"41.8","31-9011","2012","31-901","master",6.93,"college+"
"3830","Materials engineers",43,"–","17-2131","2012","17-213","master",8.26,"college+"
"3831","Mechanical engineers",307.5,"42.4","17-2141","2012","17-214","master",62.73,"college+"
"3832","Medical records and health information technicians",89,"49.8","29-2071","2012","29-207","master",2.85,"college+"
"3833","Meeting, convention, and event planners",128.5,"37.6","13-1121","2012","13-112","master",13.75,"college+"
"3834","Meter readers, utilities",29,"–","43-5041","2012","43-504","master",0.29,"college+"
"3835","Morticians, undertakers, and funeral directors",38.5,"–","39-4031","2012","39-403","master",2.12,"college+"
"3836","Motion picture projectionists",3.5,"–","39-3021","2012","39-302","master",0,"college+"
"3837","Motor vehicle operators, all other",68.5,"59.3","53-3099","2012","53-309","master",1.23,"college+"
"3838","New accounts clerks",25.5,"–","43-4141","2012","43-414","master",0.97,"college+"
"3839","Nonfarm animal caretakers",177,"32.1","39-2021","2012","39-202","master",4.25,"college+"
"3840","Nurse anesthetists",25.5,"–","29-1151","2012","29-115","master",15.68,"college+"
"3841","Occupational therapists",115,"40.700000000000003","29-1122","2012","29-112","master",47.95,"college+"
"3842","Office clerks, general",1143.5,"42.7","43-9061","2012","43-906","master",38.88,"college+"
"3843","Office machine operators, except computer",43.5,"–","43-9071","2012","43-907","master",0.44,"college+"
"3844","Operations research analysts",129,"44.8","15-2031","2012","15-203","master",33.93,"college+"
"3845","Opticians, dispensing",50.5,"–","29-2081","2012","29-208","master",0.45,"college+"
"3846","Optometrists",37,"–","29-1041","2012","29-104","master",0.89,"college+"
"3847","Packaging and filling machine operators and tenders",282.5,"39.9","51-9111","2012","51-911","master",1.13,"college+"
"3848","Paralegals and legal assistants",411,"42","23-2011","2012","23-201","master",20.14,"college+"
"3849","Parking lot attendants",84.5,"28.3","53-6021","2012","53-602","master",2.11,"college+"
"3850","Paving, surfacing, and tamping equipment operators",22.5,"–","47-2071","2012","47-207","master",0,"college+"
"3851","Payroll and timekeeping clerks",155.5,"47.6","43-3051","2012","43-305","master",3.58,"college+"
"3852","Personal care aides",1156.5,"44.2","39-9021","2012","39-902","master",24.29,"college+"
"3853","Personal care and service workers, all other",100,"35.299999999999997","39-9099","2012","39-909","master",3.5,"college+"
"3854","Pest control workers",75,"42.9","37-2021","2012","37-202","master",0.75,"college+"
"3855","Pharmacists",281.5,"42.7","29-1051","2012","29-105","master",17.17,"college+"
"3856","Photographers",179,"40.1","27-4021","2012","27-402","master",12.53,"college+"
"3857","Photographic process workers and processing machine operators",49,"–","51-9151","2012","51-915","master",2.94,"college+"
"3858","Physical scientists, all other",156,"43.2","19-2099","2012","19-209","master",34.48,"college+"
"3859","Physician assistants",118.5,"39.200000000000003","29-1071","2012","29-107","master",43.73,"college+"
"3860","Plasterers and stucco masons",22.5,"–","47-2161","2012","47-216","master",0.04,"college+"
"3861","Podiatrists",10.5,"–","29-1081","2012","29-108","master",0.25,"college+"
"3862","Postal service clerks",124,"52.1","43-5051","2012","43-505","master",2.23,"college+"
"3863","Prepress technicians and workers",31,"–","51-5111","2012","51-511","master",0.59,"college+"
"3864","Pressers, textile, garment, and related materials",54.5,"45.7","51-6021","2012","51-602","master",0.16,"college+"
"3865","Private detectives and investigators",94.5,"43.5","33-9021","2012","33-902","master",13.7,"college+"
"3866","Procurement clerks",27,"–","43-3061","2012","43-306","master",2.27,"college+"
"3867","Production, planning, and expediting clerks",277,"46.1","43-5061","2012","43-506","master",18.56,"college+"
"3868","Proofreaders and copy markers",8.5,"–","43-9081","2012","43-908","master",0.82,"college+"
"3869","Public relations specialists",152,"37.4","27-3031","2012","27-303","master",31.16,"college+"
"3870","Rail-track laying and maintenance equipment operators",11.5,"–","47-4061","2012","47-406","master",0.02,"college+"
"3871","Railroad conductors and yardmasters",51,"39","53-4031","2012","53-403","master",0.46,"college+"
"3872","Receptionists and information clerks",1281.5,"37.6","43-4171","2012","43-417","master",28.19,"college+"
"3873","Refuse and recyclable material collectors",107,"41.1","53-7081","2012","53-708","master",0.64,"college+"
"3874","Registered nurses",2883.5,"44.2","29-1141","2012","29-114","master",236.45,"college+"
"3875","Religious workers, all other",71.5,"47.1","21-2099","2012","21-209","master",13.51,"college+"
"3876","Reservation and transportation ticket agents and travel clerks",118,"44.2","43-4181","2012","43-418","master",4.84,"college+"
"3877","Residential advisors",49,"–","39-9041","2012","39-904","master",3.48,"college+"
"3878","Retail salespersons",3285.5,"34.700000000000003","41-2031","2012","41-203","master",121.56,"college+"
"3879","Roofers",199.5,"37.299999999999997","47-2181","2012","47-218","master",0.6,"college+"
"3880","Sales engineers",31.5,"–","41-9031","2012","41-903","master",5.13,"college+"
"3881","Sales representatives, services, all other",444.5,"42.1","41-3099","2012","41-309","master",32.89,"college+"
"3882","Sawing machine setters, operators, and tenders, wood",31.5,"–","51-7041","2012","51-704","master",0.09,"college+"
"3883","Securities, commodities, and financial services sales agents",279,"41.7","41-3031","2012","41-303","master",46.59,"college+"
"3884","Sewing machine operators",162,"48","51-6031","2012","51-603","master",0.97,"college+"
"3885","Sheet metal workers",118,"43.2","47-2211","2012","47-221","master",0.47,"college+"
"3886","Shipping, receiving, and traffic clerks",545,"41.1","43-5071","2012","43-507","master",3.27,"college+"
"3887","Stationary engineers and boiler operators",106,"48.6","51-8021","2012","51-802","master",2.44,"college+"
"3888","Statistical assistants",28,"–","43-9111","2012","43-911","master",1.37,"college+"
"3889","Stock clerks and order fillers",1480.5,"35.200000000000003","43-5081","2012","43-508","master",20.73,"college+"
"3890","Structural iron and steel workers",57,"–","47-2221","2012","47-222","master",0.06,"college+"
"3891","Structural metal fabricators and fitters",24,"–","51-2041","2012","51-204","master",0.07,"college+"
"3892","Surveying and mapping technicians",65.5,"44.7","17-3031","2012","17-303","master",0.79,"college+"
"3893","Switchboard operators, including answering service",33.5,"–","43-2011","2012","43-201","master",0.84,"college+"
"3894","Tax examiners and collectors, and revenue agents",71,"45.6","13-2081","2012","13-208","master",7.24,"college+"
"3895","Taxi drivers and chauffeurs",337,"49.2","53-3041","2012","53-304","master",10.11,"college+"
"3896","Teacher assistants",908,"44.8","25-9041","2012","25-904","master",41.77,"college+"
"3897","Telemarketers",95,"31.3","41-9041","2012","41-904","master",2.75,"college+"
"3898","Telephone operators",35.5,"–","43-2021","2012","43-202","master",0.71,"college+"
"3899","Tellers",374.5,"30.9","43-3071","2012","43-307","master",7.49,"college+"
"3900","Tool and die makers",54.5,"51.1","51-4111","2012","51-411","master",0.38,"college+"
"3901","Training and development specialists",122.5,"42.5","13-1151","2012","13-115","master",19.84,"college+"
"3902","Transportation attendants, except flight attendants",37.5,"–","53-6061","2012","53-606","master",0.6,"college+"
"3903","Transportation inspectors",40.5,"–","53-6051","2012","53-605","master",0.61,"college+"
"3904","Travel agents",75,"53.2","41-3041","2012","41-304","master",4.05,"college+"
"3905","Urban and regional planners",24,"–","19-3051","2012","19-305","master",12.14,"college+"
"3906","Ushers, lobby attendants, and ticket takers",41,"–","39-3031","2012","39-303","master",0.82,"college+"
"3907","Veterinarians",86,"46.8","29-1131","2012","29-113","master",1.55,"college+"
"3908","Waiters and waitresses",2124,"26.2","35-3031","2012","35-303","master",38.23,"college+"
"3909","Water and wastewater treatment plant and system operators",70,"49.8","51-8031","2012","51-803","master",0.84,"college+"
"3910","Weighers, measurers, checkers, and samplers, recordkeeping",79,"46.5","43-5111","2012","43-511","master",2.13,"college+"
"3911","Accountants and auditors",1728,"44","13-2011","2014","13-201","master",347.33,"college+"
"3912","Actors",46,"–","27-2011","2014","27-201","master",5.24,"college+"
"3913","Actuaries",24.5,"–","15-2011","2014","15-201","master",5.78,"college+"
"3914","Adhesive bonding machine operators and tenders",8.5,"–","51-9191","2014","51-919","master",0.04,"college+"
"3915","Advertising sales agents",213.5,"39.4","41-3011","2014","41-301","master",18.36,"college+"
"3916","Aerospace engineers",142.5,"46.9","17-2011","2014","17-201","master",44.6,"college+"
"3917","Agents and business managers of artists, performers, and athletes",49,"39.799999999999997","13-1011","2014","13-101","master",5.24,"college+"
"3918","Agricultural and food science technicians",32,"–","19-4011","2014","19-401","master",1.15,"college+"
"3919","Agricultural inspectors",17.5,"–","45-2011","2014","45-201","master",1,"college+"
"3920","Aircraft mechanics and service technicians",133.5,"45.4","49-3011","2014","49-301","master",1.2,"college+"
"3921","Aircraft structure, surfaces, rigging, and systems assemblers",14.5,"–","51-2011","2014","51-201","master",0.13,"college+"
"3922","Ambulance drivers and attendants, except emergency medical technicians",19,"–","53-3011","2014","53-301","master",0.49,"college+"
"3923","Animal control workers",7,"–","33-9011","2014","33-901","master",0.07,"college+"
"3924","Animal trainers",47.5,"–","39-2011","2014","39-201","master",2.38,"college+"
"3925","Appraisers and assessors of real estate",85.5,"49.8","13-2021","2014","13-202","master",8.46,"college+"
"3926","Atmospheric and space scientists",9.5,"–","19-2021","2014","19-202","master",2.25,"college+"
"3927","Audiologists",18,"–","29-1181","2014","29-118","master",4.48,"college+"
"3928","Automotive and watercraft service attendants",98,"30.4","53-6031","2014","53-603","master",1.37,"college+"
"3929","Automotive body and related repairers",143.5,"41.7","49-3021","2014","49-302","master",0.43,"college+"
"3930","Avionics technicians",6.5,"–","49-2091","2014","49-209","master",0.05,"college+"
"3931","Bakers",227.5,"37.4","51-3011","2014","51-301","master",2.05,"college+"
"3932","Barbers",113,"42.3","39-5011","2014","39-501","master",0.68,"college+"
"3933","Bartenders",433.5,"32.299999999999997","35-3011","2014","35-301","master",7.8,"college+"
"3934","Bill and account collectors",166.5,"40.1","43-3011","2014","43-301","master",3.66,"college+"
"3935","Billing and posting clerks",490,"44.9","43-3021","2014","43-302","master",14.21,"college+"
"3936","Biological technicians",21.5,"–","19-4021","2014","19-402","master",1.1,"college+"
"3937","Boilermakers",18.5,"–","47-2011","2014","47-201","master",0.15,"college+"
"3938","Bookkeeping, accounting, and auditing clerks",1206.5,"49.6","43-3031","2014","43-303","master",38.61,"college+"
"3939","Brokerage clerks",4,"–","43-4011","2014","43-401","master",0.18,"college+"
"3940","Budget analysts",46,"–","13-2031","2014","13-203","master",12.74,"college+"
"3941","Bus and truck mechanics and diesel engine specialists",334,"42","49-3031","2014","49-303","master",1.34,"college+"
"3942","Business operations specialists, all other",203.5,"43","13-1199","2014","13-119","master",40.7,"college+"
"3943","Buyers and purchasing agents, farm products",12.5,"–","13-1021","2014","13-102","master",0.55,"college+"
"3944","Cabinetmakers and bench carpenters",55.5,"44.7","51-7011","2014","51-701","master",0.72,"college+"
"3945","Cargo and freight agents",22,"–","43-5011","2014","43-501","master",0.48,"college+"
"3946","Carpenters",1281.5,"41.4","47-2031","2014","47-203","master",8.97,"college+"
"3947","Chefs and head cooks",422.5,"38.299999999999997","35-1011","2014","35-101","master",6.34,"college+"
"3948","Chemical engineers",81.5,"40.200000000000003","17-2041","2014","17-204","master",20.78,"college+"
"3949","Chemical technicians",76.5,"39.299999999999997","19-4031","2014","19-403","master",4.36,"college+"
"3950","Childcare workers",1212,"37.4","39-9011","2014","39-901","master",35.15,"college+"
"3951","Chiropractors",70.5,"45.7","29-1011","2014","29-101","master",1.55,"college+"
"3952","Civil engineers",354.5,"43.8","17-2051","2014","17-205","master",92.88,"college+"
"3953","Cleaners of vehicles and equipment",356.5,"30.7","53-7061","2014","53-706","master",2.85,"college+"
"3954","Clergy",451,"50.5","21-2011","2014","21-201","master",160.56,"college+"
"3955","Coin, vending, and amusement machine servicers and repairers",45.5,"–","49-9091","2014","49-909","master",0.68,"college+"
"3956","Combined food preparation and serving workers, including fast food",424,"26.4","35-3021","2014","35-302","master",4.24,"college+"
"3957","Communications equipment operators, all other",7,"–","43-2099","2014","43-209","master",0.68,"college+"
"3958","Compensation, benefits, and job analysis specialists",69.5,"42.6","13-1141","2014","13-114","master",7.99,"college+"
"3959","Compliance officers",242.5,"45.4","13-1041","2014","13-104","master",43.16,"college+"
"3960","Computer and information research scientists",26.5,"–","15-1111","2014","15-111","master",8.53,"college+"
"3961","Computer hardware engineers",78,"44.5","17-2061","2014","17-206","master",19.73,"college+"
"3962","Computer occupations, all other",529.5,"42.2","15-1199","2014","15-119","master",82.07,"college+"
"3963","Computer operators",78,"46.3","43-9011","2014","43-901","master",4.76,"college+"
"3964","Computer programmers",494.5,"42.1","15-1131","2014","15-113","master",96.43,"college+"
"3965","Computer systems analysts",531.5,"41.9","15-1121","2014","15-112","master",124.37,"college+"
"3966","Computer, automated teller, and office machine repairers",253,"41.7","49-2011","2014","49-201","master",10.37,"college+"
"3967","Construction and building inspectors",84,"51.4","47-4011","2014","47-401","master",4.03,"college+"
"3968","Construction laborers",1667.5,"38.9","47-2061","2014","47-206","master",10.01,"college+"
"3969","Cost estimators",108.5,"46.7","13-1051","2014","13-105","master",4.88,"college+"
"3970","Counter and rental clerks",111,"34.700000000000003","41-2021","2014","41-202","master",2,"college+"
"3971","Couriers and messengers",234,"45.5","43-5021","2014","43-502","master",4.91,"college+"
"3972","Court, municipal, and license clerks",70,"49.1","43-4031","2014","43-403","master",1.82,"college+"
"3973","Crane and tower operators",75,"44.1","53-7021","2014","53-702","master",0.52,"college+"
"3974","Credit analysts",24.5,"–","13-2041","2014","13-204","master",4.51,"college+"
"3975","Credit authorizers, checkers, and clerks",48,"–","43-4041","2014","43-404","master",2.93,"college+"
"3976","Crossing guards",61.5,"54.9","33-9091","2014","33-909","master",1.05,"college+"
"3977","Customer service representatives",2178.5,"36.4","43-4051","2014","43-405","master",87.14,"college+"
"3978","Data entry keyers",286.5,"41.4","43-9021","2014","43-902","master",10.6,"college+"
"3979","Database administrators",100.5,"45.6","15-1141","2014","15-114","master",23.72,"college+"
"3980","Dental assistants",279.5,"35.9","31-9091","2014","31-909","master",2.24,"college+"
"3981","Dental hygienists",176,"40.799999999999997","29-2021","2014","29-202","master",5.46,"college+"
"3982","Detectives and criminal investigators",154,"42.9","33-3021","2014","33-302","master",20.79,"college+"
"3983","Dietitians and nutritionists",115.5,"43.3","29-1031","2014","29-103","master",32.34,"college+"
"3984","Directors, religious activities and education",71,"41.9","21-2021","2014","21-202","master",16.47,"college+"
"3985","Dishwashers",263.5,"28.1","35-9021","2014","35-902","master",2.11,"college+"
"3986","Door-to-door sales workers, news and street vendors, and related workers",165.5,"42.8","41-9091","2014","41-909","master",6.29,"college+"
"3987","Earth drillers, except oil and gas",29,"–","47-5021","2014","47-502","master",0,"college+"
"3988","Economists",33.5,"–","19-3011","2014","19-301","master",15.98,"college+"
"3989","Editors",161.5,"41.2","27-3041","2014","27-304","master",32.3,"college+"
"3990","Electrical power-line installers and repairers",117,"40.4","49-9051","2014","49-905","master",1.29,"college+"
"3991","Electricians",771,"41.2","47-2111","2014","47-211","master",6.94,"college+"
"3992","Elevator installers and repairers",26,"–","47-4021","2014","47-402","master",0.05,"college+"
"3993","Eligibility interviewers, government programs",72,"45.3","43-4061","2014","43-406","master",5.18,"college+"
"3994","Emergency medical technicians and paramedics",226,"32.4","29-2041","2014","29-204","master",5.2,"college+"
"3995","Engine and other machine assemblers",10.5,"–","51-2031","2014","51-203","master",0,"college+"
"3996","Entertainers and performers, sports and related workers, all other",39.5,"–","27-2099","2014","27-209","master",2.73,"college+"
"3997","Environmental engineers",41,"–","17-2081","2014","17-208","master",13.9,"college+"
"3998","Explosives workers, ordnance handling experts, and blasters",7,"–","47-5031","2014","47-503","master",0.08,"college+"
"3999","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","2014","51-402","master",0.03,"college+"
"4000","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,"–","51-9041","2014","51-904","master",0.48,"college+"
"4001","Fence erectors",33.5,"–","47-4031","2014","47-403","master",0.4,"college+"
"4002","File clerks",214.5,"42.9","43-4071","2014","43-407","master",9.87,"college+"
"4003","Financial analysts",291.5,"38.299999999999997","13-2051","2014","13-205","master",96.2,"college+"
"4004","Financial clerks, all other",67,"41.7","43-3099","2014","43-309","master",9.31,"college+"
"4005","Financial examiners",15.5,"–","13-2061","2014","13-206","master",3.69,"college+"
"4006","Financial specialists, all other",82,"44.4","13-2099","2014","13-209","master",16.07,"college+"
"4007","Firefighters",296.5,"39.6","33-2011","2014","33-201","master",6.23,"college+"
"4008","First-line supervisors of construction trades and extraction workers",704,"46.9","47-1011","2014","47-101","master",11.26,"college+"
"4009","First-line supervisors of correctional officers",50.5,"–","33-1011","2014","33-101","master",2.47,"college+"
"4010","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","2014","45-101","master",1.13,"college+"
"4011","First-line supervisors of fire fighting and prevention workers",53.5,"47.8","33-1021","2014","33-102","master",2.84,"college+"
"4012","First-line supervisors of housekeeping and janitorial workers",287.5,"47.5","37-1011","2014","37-101","master",6.33,"college+"
"4013","First-line supervisors of mechanics, installers, and repairers",273,"48.5","49-1011","2014","49-101","master",6.28,"college+"
"4014","First-line supervisors of office and administrative support workers",1412.5,"45.6","43-1011","2014","43-101","master",107.35,"college+"
"4015","First-line supervisors of personal service workers",193.5,"44.6","39-1021","2014","39-102","master",6.39,"college+"
"4016","First-line supervisors of production and operating workers",803,"45.8","51-1011","2014","51-101","master",24.89,"college+"
"4017","First-line supervisors of protective service workers, all other",86,"46.7","33-1099","2014","33-109","master",8.94,"college+"
"4018","First-line supervisors of retail sales workers",3265,"43","41-1011","2014","41-101","master",124.07,"college+"
"4019","Flight attendants",89,"46.8","53-2031","2014","53-203","master",4.09,"college+"
"4020","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","2014","51-309","master",0.12,"college+"
"4021","Food preparation workers",871.5,"27.1","35-2021","2014","35-202","master",10.46,"college+"
"4022","Food servers, nonrestaurant",187.5,"36","35-3041","2014","35-304","master",2.25,"college+"
"4023","Forest and conservation workers",18,"–","45-4011","2014","45-401","master",0.4,"college+"
"4024","Fundraisers",84.5,"40.5","13-1131","2014","13-113","master",22.39,"college+"
"4025","Furnace, kiln, oven, drier, and kettle operators and tenders",8,"–","51-9051","2014","51-905","master",0,"college+"
"4026","Furniture finishers",11,"–","51-7021","2014","51-702","master",0.2,"college+"
"4027","Gaming cage workers",14,"–","43-3041","2014","43-304","master",0.14,"college+"
"4028","General and operations managers",893,"45.1","11-1021","2014","11-102","master",97.34,"college+"
"4029","Glaziers",41,"–","47-2121","2014","47-212","master",0.2,"college+"
"4030","Graders and sorters, agricultural products",95,"39.4","45-2041","2014","45-204","master",0.1,"college+"
"4031","Hazardous materials removal workers",32.5,"–","47-4041","2014","47-404","master",0.81,"college+"
"4032","Health diagnosing and treating practitioners, all other",20.5,"–","29-1199","2014","29-119","master",7.89,"college+"
"4033","Heating, air conditioning, and refrigeration mechanics and installers",393,"41.7","49-9021","2014","49-902","master",2.36,"college+"
"4034","Highway maintenance workers",113,"47.5","47-4051","2014","47-405","master",1.13,"college+"
"4035","Home appliance repairers",52,"49.6","49-9031","2014","49-903","master",0.52,"college+"
"4036","Hosts and hostesses, restaurant, lounge, and coffee shop",295,"21.8","35-9031","2014","35-903","master",8.55,"college+"
"4037","Hotel, motel, and resort desk clerks",138,"30","43-4081","2014","43-408","master",3.59,"college+"
"4038","Human resources assistants, except payroll and timekeeping",80,"42.8","43-4161","2014","43-416","master",5.44,"college+"
"4039","Industrial truck and tractor operators",576.5,"41.4","53-7051","2014","53-705","master",1.73,"college+"
"4040","Information and record clerks, all other",111,"43.9","43-4199","2014","43-419","master",6.55,"college+"
"4041","Inspectors, testers, sorters, samplers, and weighers",752,"43.1","51-9061","2014","51-906","master",21.06,"college+"
"4042","Insurance claims and policy processing clerks",287.5,"43.7","43-9041","2014","43-904","master",9.49,"college+"
"4043","Insurance sales agents",588.5,"46.1","41-3021","2014","41-302","master",41.2,"college+"
"4044","Interviewers, except eligibility and loan",155.5,"41.2","43-4111","2014","43-411","master",10.11,"college+"
"4045","Jewelers and precious stone and metal workers",44,"–","51-9071","2014","51-907","master",0.97,"college+"
"4046","Laundry and dry-cleaning workers",174,"47.5","51-6011","2014","51-601","master",1.39,"college+"
"4047","Librarians",182,"49.1","25-4021","2014","25-402","master",102.1,"college+"
"4048","Library assistants, clerical",98,"40.200000000000003","43-4121","2014","43-412","master",9.51,"college+"
"4049","Library technicians",33.5,"–","25-4031","2014","25-403","master",3.62,"college+"
"4050","Licensed practical and licensed vocational nurses",655.5,"43.3","29-2061","2014","29-206","master",3.93,"college+"
"4051","Loan interviewers and clerks",141,"39.200000000000003","43-4131","2014","43-413","master",4.94,"college+"
"4052","Logisticians",108.5,"42.2","13-1081","2014","13-108","master",9.44,"college+"
"4053","Machinists",377,"44.7","51-4041","2014","51-404","master",1.13,"college+"
"4054","Mail clerks and mail machine operators, except postal service",80,"42.2","43-9051","2014","43-905","master",1.36,"college+"
"4055","Maintenance and repair workers, general",499,"48.3","49-9071","2014","49-907","master",5.49,"college+"
"4056","Management analysts",849,"46","13-1111","2014","13-111","master",241.12,"college+"
"4057","Marine engineers and naval architects",10,"–","17-2121","2014","17-212","master",1.97,"college+"
"4058","Market research analysts and marketing specialists",272.5,"37.6","13-1161","2014","13-116","master",63.77,"college+"
"4059","Massage therapists",180.5,"42.4","31-9011","2014","31-901","master",7.22,"college+"
"4060","Materials engineers",37.5,"–","17-2131","2014","17-213","master",6.83,"college+"
"4061","Mechanical engineers",313,"42.6","17-2141","2014","17-214","master",65.42,"college+"
"4062","Medical records and health information technicians",169,"46.5","29-2071","2014","29-207","master",5.24,"college+"
"4063","Meeting, convention, and event planners",157.5,"34.299999999999997","13-1121","2014","13-112","master",17.01,"college+"
"4064","Meter readers, utilities",32,"–","43-5041","2014","43-504","master",0.35,"college+"
"4065","Morticians, undertakers, and funeral directors",32,"–","39-4031","2014","39-403","master",0.96,"college+"
"4066","Motion picture projectionists",5,"–","39-3021","2014","39-302","master",0.41,"college+"
"4067","Motor vehicle operators, all other",56,"55.9","53-3099","2014","53-309","master",0.95,"college+"
"4068","New accounts clerks",26.5,"–","43-4141","2014","43-414","master",0.61,"college+"
"4069","Nonfarm animal caretakers",226.5,"31.6","39-2021","2014","39-202","master",6.34,"college+"
"4070","Nurse anesthetists",28.5,"–","29-1151","2014","29-115","master",20.49,"college+"
"4071","Occupational therapists",113.5,"40.799999999999997","29-1122","2014","29-112","master",51.3,"college+"
"4072","Office clerks, general",1259,"44.3","43-9061","2014","43-906","master",41.55,"college+"
"4073","Office machine operators, except computer",38,"–","43-9071","2014","43-907","master",0.72,"college+"
"4074","Operations research analysts",130.5,"44.1","15-2031","2014","15-203","master",35.76,"college+"
"4075","Opticians, dispensing",49,"–","29-2081","2014","29-208","master",0.88,"college+"
"4076","Optometrists",43.5,"–","29-1041","2014","29-104","master",0.78,"college+"
"4077","Packaging and filling machine operators and tenders",254.5,"40.700000000000003","51-9111","2014","51-911","master",1.27,"college+"
"4078","Paralegals and legal assistants",408.5,"42.6","23-2011","2014","23-201","master",25.33,"college+"
"4079","Parking lot attendants",84.5,"31.6","53-6021","2014","53-602","master",1.52,"college+"
"4080","Paving, surfacing, and tamping equipment operators",15.5,"–","47-2071","2014","47-207","master",0,"college+"
"4081","Payroll and timekeeping clerks",142,"46.3","43-3051","2014","43-305","master",3.83,"college+"
"4082","Personal care aides",1252.5,"45.1","39-9021","2014","39-902","master",28.81,"college+"
"4083","Personal care and service workers, all other",140,"38","39-9099","2014","39-909","master",7.84,"college+"
"4084","Pest control workers",82.5,"42.9","37-2021","2014","37-202","master",0.91,"college+"
"4085","Pharmacists",287.5,"42","29-1051","2014","29-105","master",17.25,"college+"
"4086","Photographers",177,"38.9","27-4021","2014","27-402","master",14.51,"college+"
"4087","Photographic process workers and processing machine operators",30,"–","51-9151","2014","51-915","master",0.78,"college+"
"4088","Physical scientists, all other",207.5,"42.9","19-2099","2014","19-209","master",47.1,"college+"
"4089","Physician assistants",79,"38.700000000000003","29-1071","2014","29-107","master",45.58,"college+"
"4090","Plasterers and stucco masons",29.5,"–","47-2161","2014","47-216","master",0.06,"college+"
"4091","Podiatrists",11.5,"–","29-1081","2014","29-108","master",0.1,"college+"
"4092","Postal service clerks",123.5,"52.3","43-5051","2014","43-505","master",1.98,"college+"
"4093","Prepress technicians and workers",23.5,"–","51-5111","2014","51-511","master",0.52,"college+"
"4094","Pressers, textile, garment, and related materials",41,"–","51-6021","2014","51-602","master",0.04,"college+"
"4095","Private detectives and investigators",99,"43.1","33-9021","2014","33-902","master",13.56,"college+"
"4096","Procurement clerks",35.5,"–","43-3061","2014","43-306","master",3.59,"college+"
"4097","Production, planning, and expediting clerks",265,"45.9","43-5061","2014","43-506","master",19.61,"college+"
"4098","Proofreaders and copy markers",9,"–","43-9081","2014","43-908","master",1.38,"college+"
"4099","Public relations specialists",141.5,"38.299999999999997","27-3031","2014","27-303","master",29.01,"college+"
"4100","Rail-track laying and maintenance equipment operators",14,"–","47-4061","2014","47-406","master",0,"college+"
"4101","Railroad conductors and yardmasters",49,"–","53-4031","2014","53-403","master",0.44,"college+"
"4102","Receptionists and information clerks",1266.5,"37","43-4171","2014","43-417","master",32.93,"college+"
"4103","Refuse and recyclable material collectors",90.5,"41.7","53-7081","2014","53-708","master",0.36,"college+"
"4104","Registered nurses",2930.5,"43.7","29-1141","2014","29-114","master",263.75,"college+"
"4105","Religious workers, all other",70.5,"44.6","21-2099","2014","21-209","master",12.41,"college+"
"4106","Reservation and transportation ticket agents and travel clerks",102.5,"42.4","43-4181","2014","43-418","master",3.79,"college+"
"4107","Residential advisors",40.5,"–","39-9041","2014","39-904","master",3.73,"college+"
"4108","Retail salespersons",3331,"35.700000000000003","41-2031","2014","41-203","master",126.58,"college+"
"4109","Roofers",213.5,"36.1","47-2181","2014","47-218","master",0.21,"college+"
"4110","Sales engineers",42.5,"–","41-9031","2014","41-903","master",6.5,"college+"
